"Row Labels","Count of substance","Sum of quantity","SUPER_SPECIAL_SUB_NAME","SUB_TYPE","Direct 1","Direct 2","Direct 3","Direct 4","Processed 1","Processed 2","Processed 3","Processed 4","Substitute 1","Substitute 2","Substitute 3","Substitute 4"
"Irrigation water",1,22600,"Spine_374","m",,,,,,,,,,,,
"Isocyanate",1,1.88,"Spine_375","m",,,,,,,,,,,,
"Isofrax",1,0,"Spine_376","m",,,,,,,,,,,,
"Isopropanol",2,0.69,"Spine_377","m",,,,,,,,,,,,
"Jet fuel",1,123,"Spine_378","f",,,,,,,,,,,,
"Juice bottles",1,1,"Spine_379","m",,,,,,,,,,,,
"K2O",1,13.5,"Spine_380","m",,,,,,,,,,,,
"Kaolin",1,298.4,"Spine_381","m",,,,,,,,,,,,
"KAu(CN)2",1,0.17,"Spine_382","m",,,,,,,,,,,,
"KCl",7,12.75,"Spine_383","m",,,,,,,,,,,,
"Kermag EN 95",1,0,"Spine_384","m",,,,,,,,,,,,
"Kerosene",2,433.03,"Spine_385","m",,,,,,,,,,,,
"Kodak Aqua image",1,0.04,"Spine_386","m",,,,,,,,,,,,
"Kodak Dev RA 2000",1,0.12,"Spine_387","m",,,,,,,,,,,,
"Kodak Developer",1,0.14,"Spine_388","m",,,,,,,,,,,,
"Kodak Fix 3000",1,0.12,"Spine_389","m",,,,,,,,,,,,
"Kodak Polimax Fix",1,0.02,"Spine_390","m",,,,,,,,,,,,
"Kodak Signature",1,0.18,"Spine_391","m",,,,,,,,,,,,
"Kraftliner",2,169.3,"Spine_392","m",,,,,,,,,,,,
"Label",1,1,"Spine_393","m",,,,,,,,,,,,
"Lacquer",1,433.7,"Spine_394","m",,,,,,,,,,,,
"Land use",2,0.66,"Spine_395","g",,,,,,,,,,,,
"LAS",2,0.16,"Spine_396","m",,,,,,,,,,,,
"LD-slag",1,0.04,"Spine_397","m",,,,,,,,,,,,
"Lead",3,8,"Spine_398","m",,,,,,,,,,,,
"Lead glass",1,0,"Spine_399","m",,,,,,,,,,,,
"Lead in ore",24,4.25,"Spine_400","m",,,,,,,,,,,,
"Lead ore",4,21.44,"Spine_401","m",,,,,,,,,,,,
"Lens assembly",1,1,"Spine_402","m",,,,,,,,,,,,
"Lens cell",1,1,"Spine_403","m",,,,,,,,,,,,
"Lens heater",1,1,"Spine_404","m",,,,,,,,,,,,
"Levoxin",1,0,"Spine_405","m",,,,,,,,,,,,
"Levoxin/Hydrazin",2,0.01,"Spine_406","m",,,,,,,,,,,,
"Light fuel oil",8,270.09,"Spine_407","f",,,,,"EWC_013",,,,,,,
"Lignite",33,889912.48,"Spine_408","f",,,,,,,,,,,,
"Lime",17,164.31,"Spine_409","m",,,,,,,,,,,,
"Limestone",54,947689.22,"Spine_410","m",,,,,,,,,,,,
"Limestone rock",1,1.13,"Spine_411","m",,,,," EWC_121_TO_125_NOT_124",,,,,,,
"Linoleum",1,1,"Spine_412","m",,,,,,,,,,,,
"Linoleum-floor",1,1.01,"Spine_413","m",,,,,,,,,,,,
"linseed",1,588,"Spine_414","m",,,,,,,,,,,,
"Liquefied petroleum gas",4,106.5,"Spine_415","f",,,,,,,,,,,,
"Liquid crystal polymer (LCP)",1,0,"Spine_416","m",,,,,,,,,,,,
"LPG",7,668.62,"Spine_417","f",,,,,,,,,,,,
"Lubricant",1,0,"Spine_418","m",,,,,,,,,,,,
"Lubricant oil",2,0,"Spine_419","m",,,,,,,,,,,,
"Lubricating Oil",4,0.42,"Spine_420","m",,,,,,,,,,,,
"Lye",1,11.5,"Spine_421","m",,,,,,,,,,,,
"Macadam",2,0.02,"Spine_422","m",,,,,,,,,,,,
"Magna BD 68",1,0,"Spine_423","m",,,,,,,,,,,,
"Magnafloc LT 27 AG",1,0,"Spine_424","m",,,,,,,,,,,,
"Magnesite",1,3.76,"Spine_425","m",,,,,,,,,,,,
"Magnesium",1,0,"Spine_426","m",,,,,,,,,,,,
"Magnesium chloride",1,0.02,"Spine_427","m",,,,,,,,,,,,
"Magnesium in ore",1,1.2,"Spine_428","m",,,,,,,,,,,,
"Magnet wire",1,1,"Spine_429","m",,,,," EWC_06",,,,,,,
"Maintenance",1,,"Spine_430","g",,,,,,,,,,,,
"Malmsten/Bergwall E1P",1,0.38,"Spine_431","m",,,,,,,,,,,,
"Manganese",1,0,"Spine_432","m",,,,,,,,,,,,
"Manganese in ore",17,7.91,"Spine_433","m",,,,,,,,,,,,
"MB Sweda, Asol",1,0.37,"Spine_434","m",,,,,,,,,,,,
"MDI",1,185,"Spine_435","m",,,,,,,,,,,,
"Merchant Scrap",2,1790.4,"Spine_436","m"," EWC_06",,,,,,,,,,,
"Metal",1,0,"Spine_437","m",,,,," EWC_06",,,,,,,
"Metal dust",1,56.4,"Spine_438","m",,,,,,,,,,,,
"Metal Ribbon",1,1.96,"Spine_439","m",,,,,,,,,,,,
"Metallurgical coal",1,245.3,"Spine_440","m",,,,,,,,,,,,
"Metals",5,0.37,"Spine_441","m",,,,," EWC_06",,,,,,,
"Methane",1,0.22,"Spine_442","f",,,,,,,,,,,,
"Methanesulfonic Acid",1,0.14,"Spine_443","m",,,,,,,,,,,,
"Methanol",5,4.14,"Spine_444","m",,,,,,,,,,,,
"Methoxymethylated 4,5-dihyrdoxyethylurea",1,0.03,"Spine_445","m",,,,,,,,,,,,
"Methyl isobutyl ketone",1,0,"Spine_446","m",,,,,,,,,,,,
"Methylated spirit",1,40,"Spine_447","m",,,,,,,,,,,,
"MgSO4",1,1200,"Spine_448","m",,,,,,,,,,,,
"Mine gas (methane)",5,157.13,"Spine_449","f",,,,,,,,," EWC_0911"," EWC_093"," EWC_09_NOT_0911_093",
"Mineral oil products",1,31.68,"Spine_450","m",,,,,,,,,,,,
"Mineral, oil and gas extraction area",1,0.41,"Spine_451","f",,,,,,,,,,,,
"Mineral/vegetal oil",1,0.08,"Spine_452","f",,,,,,,,,,,,
"Minerals",5,1559.9,"Spine_453","m",,,,,,,,,,,,
"Mo",1,0,"Spine_454","m",,,,,,,,,,,,
"Mobil Vactra Oil Nr.2",1,3600,"Spine_455","m",,,,,,,,,,,,
"Mobil, 425",1,0.1,"Spine_456","m",,,,,,,,,,,,
"Mobil, 629",1,0.18,"Spine_457","m",,,,,,,,,,,,
"Mold compound",1,0.47,"Spine_458","m",,,,,,,,,,,,
"Mold compound (silica)",3,0.76,"Spine_459","m",,,,,,,,,,,,
"Molybdenum",5,0,"Spine_460","m",,,,,,,,,,,,
"Morpholine",1,0,"Spine_461","m",,,,,,,,,,,,
"Motor",1,1,"Spine_462","m",,,,,,,,,,,,
"Multi",1,240,"Spine_463","m",,,,,,,,,,,,
"Municipal water",8,164.1,"Spine_464","m",,,,,,,,,,,,
"N2",16,983.12,"Spine_465","m",,,,,,,,,,,,
"Na carbonate",2,0.17,"Spine_466","m",,,,,,,,,,,,
"Na perborate",2,0.25,"Spine_467","m",,,,,,,,,,,,
"Na sulphate",2,0.21,"Spine_468","m",,,,,,,,,,,,
"Na2CO3",1,0,"Spine_469","m",,,,,,,,,,,,
"Na2CO3-",3,2.01,"Spine_470","m",,,,,,,,,,,,
"Na2SO4",2,450,"Spine_471","m",,,,,,,,,,,,
"NaCl",25,2100049.1,"Spine_472","m",,,,,,,,,,,,
"NaClO3",1,30200,"Spine_473","m",,,,,,,,,,,,
"NaCO3",1,1.4,"Spine_474","m",,,,,,,,,,,,
"NaHSO3",1,242,"Spine_475","m",,,,,,,,,,,,
"NaOH",20,36646.77,"Spine_476","m",,,,,,,,,,,,
"Natural gas",79,1845278.1,"Spine_477","f",,,,,,,,," EWC_0911"," EWC_093"," EWC_09_NOT_0911_093",
"Natural sand",4,2373.58,"Spine_478","m",,,,,,,,,,,,
"NH3",4,4.7,"Spine_479","m",,,,,,,,,,,,
"NH4Cl",1,0.01,"Spine_480","m",,,,,,,,,,,,
"Ni",9,80.96,"Spine_481","m",,,,,,,,,,,,
"Nickel chloride",2,0.01,"Spine_482","m",,,,,,,,,,,,
"Nickel in ore",18,12.73,"Spine_483","m",,,,,,,,,,,,
"Nickel iron alloy",1,0.03,"Spine_484","m",,,,,,,,,,,,
"Nickel silver",1,0.09,"Spine_485","m",,,,,,,,,,,,
"Nickel sulphate",1,0.06,"Spine_486","m",,,,,,,,,,,,
"Nicoflex special",1,0,"Spine_487","m",,,,,,,,,,,,
"Nitric acid",10,3.36,"Spine_488","m",,,,,,,,,,,,
"Nitrogen",11,1443881.32,"Spine_489","m",,,,,,,,,,,,
"Nitrogen fertiliser",2,162.7,"Spine_490","m",,,,,,,,," EWC_11_NOT_113"," EWC_09_NOT_0911_093"," EWC_093"," EWC_0911"
"N-metylpyrrolidone",1,1.34,"Spine_491","m",,,,,,,,,,,,
"Nonionic emulsifier",1,0.01,"Spine_492","m",,,,,,,,,,,,
"Nordic, Novaren 10",1,0.59,"Spine_493","m",,,,,,,,,,,,
"Nordic, Wet 86",1,0.78,"Spine_494","m",,,,,,,,,,,,
"NPK fertiliser",1,131170,"Spine_495","m",,,,,,,,," EWC_11_NOT_113"," EWC_09_NOT_0911_093"," EWC_093"," EWC_0911"
"Nuclear",1,1690,"Spine_496","e",,,,,,,,,,,,
"Nuclear energy",5,11.45,"Spine_497","e",,,,,,,,,,,,
"O2",12,11603.31,"Spine_498","m",,,,,,,,,,,,
"Oil",24,1276.22,"Spine_499","f",,,,,"EWC_013",,,,,,,
"Oil (eo1)",4,0.47,"Spine_500","f",,,,,"EWC_013",,,,,,,
"Oil in the ground",1,713,"Spine_501","f",,,,,"EWC_013",,,,,,,
"Oil, heavy fuel",1,1.53,"Spine_502","f",,,,,"EWC_013",,,,,,,
"Olivine",13,271.02,"Spine_503","m",,,,,,,,,,,,
"Organic components",1,1.1,"Spine_504","m",,,,,,,,,,,,
"Organic phosphorous compound",1,0.04,"Spine_505","m",,,,,,,,,,,,
"Organics",1,0.03,"Spine_506","m",,,,,,,,,,,,
"orthoxylene",1,355,"Spine_507","m",,,,,,,,,,,,
"Other chemicals",1,2100,"Spine_508","m",,,,,,,,,,,,
"Other energy",5,-1.51,"Spine_509","e",,,,,,,,,,,,
"Other fuel",9,170.9,"Spine_510","f"," EWC_074"," EWC_075"," EWC_072"," EWC_076"," EWC_11_NOT_113",,,,,,,
"Oxalic acid",1,0,"Spine_511","m",,,,,,,,,,,,
"Oxygen",13,191.85,"Spine_512","m",,,,,,,,,,,,
"P",1,0,"Spine_513","m",,,,,,,,,,,,
"P2O5",1,16.5,"Spine_514","m",,,,,,,,,,,,
"Packaging material ESD foam",1,1,"Spine_515","m",,,,,,,,,,,,
"Packaging materials",1,1.8,"Spine_516","m",,,,,,,,,,,,
"Paddle",1,1,"Spine_517","m",,,,,,,,,,,,
"Paint",2,13.76,"Spine_518","m",,,,,,,,,,,,
"Palladium in ore",10,0,"Spine_519","m",,,,,,,,,,,,
"Paper",5,198.37,"Spine_520","m",,,,," EWC_072",,,,,,,
"Paper and cardboard",3,3.25,"Spine_521","m",,,,," EWC_072",,,,,,,
"Paperboard for liquids",1,1,"Spine_522","m",,,,," EWC_072",,,,,,,
"Paraffine mixture, anionic",1,0.02,"Spine_523","m",,,,,,,,,,,,
"Pb",5,53.41,"Spine_524","m",,,,,,,,,,,,
"Peat",16,490.38,"Spine_525","f",,,,," EWC_075"," EWC_074"," EWC_072",,,,,
"Perflouric acids",1,,"Spine_526","m",,,,,,,,,,,,
"PET",1,0.12,"Spine_527","m",,,,," EWC_074",,,,,,,
"Petrotec RI-54",1,0,"Spine_528","m",,,,,,,,,,,,
"Phenol",4,1.45,"Spine_529","m",,,,,,,,,,,,
"Phenolic laminated sheet",1,0.85,"Spine_530","m",,,,,,,,,,,,
"Phenyl sulfonate",1,0.02,"Spine_531","m",,,,,,,,,,,,
"Phosphate",2,0.1,"Spine_532","m",,,,,,,,,,,,
"Phosphonate",2,0.02,"Spine_533","m",,,,,,,,,,,,
"Phosphoric acid",3,0.4,"Spine_534","m",,,,,,,,,,,,
"Phosphoric acid ester, anionic",1,0.02,"Spine_535","m",,,,,,,,,,,,
"Phosphorous bronze",1,0.08,"Spine_536","m",,,,,,,,,,,,
"Phosphorous fertiliser",1,6.8,"Spine_537","m",,,,,,,,," EWC_11_NOT_113"," EWC_09_NOT_0911_093"," EWC_093"," EWC_0911"
"Phosphorus",1,5,"Spine_538","m",,,,,,,,,,,,
"Phosphorus in ore",7,0.74,"Spine_539","m",,,,,,,,,,,,
"Photoresist",3,207.52,"Spine_540","m",,,,,,,,,,,,
"Pickled steel sheet",1,1,"Spine_541","m",,,,,,,,,,,,
"Pine",1,2.14,"Spine_542","m",,,,,,,,,,,,
"Pinion gear",1,1,"Spine_543","m",,,,,,,,,,,,
"Pitch despergent",1,0,"Spine_544","m",,,,,,,,,,,,
"PIX 111",2,3.08,"Spine_545","m",,,,,,,,,,,,
"Planted forest area",1,1,"Spine_546","g",,,,,,,,,,,,
"Plaster",1,0.01,"Spine_547","m",,,,,,,,,,,,
"Plastic magnet",1,1,"Spine_548","m",,,,,,,,,,,,
"Plastic waste",2,1001,"Spine_549","w"," EWC_074",,,,,,,,,,,
"Plastics",3,3.43,"Spine_550","m",,,,," EWC_074",,,,,,,
"Plating gold",1,0,"Spine_551","m",,,,,,,,,,,,
"Plating nickel",1,0,"Spine_552","m",,,,,,,,,,,,
"Platinum in ore",10,0,"Spine_553","m",,,,,,,,,,,,
"Plywood",1,0.64,"Spine_554","m",,,,,,,,,,,,
"Polarizer film",1,0.04,"Spine_555","m",,,,,,,,,,,,
"Polishing Oil",1,0.01,"Spine_556","m",,,,,,,,,,,,
"Poly(butylene terephthalate)",1,0.55,"Spine_557","m",,,,,,,,,,,,
"Polyacetal",1,0.62,"Spine_558","m",,,,,,,,,,,,
"Polyacrylic and phosphoric acid derivate",1,0.02,"Spine_559","m",,,,,,,,,,,,
"Polyamide",1,0.23,"Spine_560","m",,,,,,,,,,,,
"Polyamide 66 (PA66)",2,0.01,"Spine_561","m",,,,,,,,,,,,
"Polyamides",1,0,"Spine_562","m",,,,,,,,,,,,
"Polybutylene",1,0.3,"Spine_563","m",,,,,,,,,,,,
"Polycarbonate",2,29.8,"Spine_564","m",,,,,,,,,,,,
"Polycarboxylate",2,0.05,"Spine_565","m",,,,,,,,,,,,
"Polyester",2,26.12,"Spine_566","m",,,,,,,,,,,,
"Polyether - polyols",1,0.71,"Spine_567","m",,,,,,,,,,,,
"Polyethylene",2,1.03,"Spine_568","m",,,,,,,,,,,,
"Polyethylene terephthalate (PET)",1,0.02,"Spine_569","m",,,,," EWC_074",,,,,,,
"Polyimide",1,0,"Spine_570","m",,,,,,,,,,,,
"Polymer",1,28.3,"Spine_571","m",,,,,,,,,,,,
"Polymers",4,5.16,"Spine_572","m",,,,,,,,,,,,
"Polymethyl Methacrylate",1,0,"Spine_573","m",,,,,,,,,,,,
"Polyol",1,1.45,"Spine_574","m",,,,,,,,,,,,
"Polyphenyl oxide",1,2.1,"Spine_575","m",,,,,,,,,,,,
"Polypropylene",1,0.05,"Spine_576","m",,,,,,,,,,,,
"Polystyrene",1,1,"Spine_577","m",,,,,,,,,,,,
"Polyurethane resin",1,0.03,"Spine_578","m",,,,,,,,,,,,
"Polyvinyl Chloride",1,0,"Spine_579","m",,,,,,,,,,,,
"Polyvinylbutural",1,0,"Spine_580","m",,,,,,,,,,,,
"POM",1,0.31,"Spine_581","m",,,,,,,,,,,,
"Porol",1,0,"Spine_582","m",,,,,,,,,,,,
"Poron",1,0,"Spine_583","m",,,,,,,,,,,,
"Portland soda",2,1.13,"Spine_584","m",,,,,,,,,,,,
"Potash salt",2,,"Spine_585","m",,,,,,,,,,,,
"Potassium chloride",3,24.49,"Spine_586","m",,,,,,,,,,,,
"Potassium cyanide",1,0.01,"Spine_587","m",,,,,,,,,,,,
"Potassium fertiliser",1,9.6,"Spine_588","m",,,,,,,,," EWC_11_NOT_113"," EWC_09_NOT_0911_093"," EWC_093"," EWC_0911"
"Potassium hydroxide",3,0.12,"Spine_589","m",,,,,,,,,,,,
"Potassium nitrate",3,2.51,"Spine_590","m",,,,,,,,,,,,
"Potassium oxide",1,0,"Spine_591","m",,,,,,,,,,,,
"Power printed circuit board",1,1,"Spine_592","m",,,,,,,,,,,,
"PPA-PPS",1,0.12,"Spine_593","m",,,,,,,,,,,,
"Precipitation agent",1,0.02,"Spine_594","m",,,,,,,,,,,,
"Prepreg (Carbon fibre)",1,936.23,"Spine_595","m",,,,,,,,,,,,
"Process air",2,5.56,"Spine_596","g",,,,,,,,,,,,
"Process water",2,3.89,"Spine_597","m",,,,,,,,,,,,
"Propane",4,0.54,"Spine_598","f",,,,,,,,,,,,
"Propene",1,0.01,"Spine_599","m",,,,,,,,,,,,
"Propylene",1,500,"Spine_600","m",,,,,,,,,,,,
"Proteine derivate",1,0.02,"Spine_601","m",,,,,,,,,,,,
"PTMG",1,755,"Spine_602","m",,,,,,,,,,,,
"PU",1,0.01,"Spine_603","m",,,,,,,,,,,,
"PVC",1,1,"Spine_604","m",,,,,,,,,,,,
"Quartz (SiO2)",2,0.07,"Spine_605","m",,,,,,,,,,,,
"Quartzite",3,706,"Spine_606","m",,,,,,,,,,,,
"Quench oil",1,6.6,"Spine_607","f",,,,,,,,,,,,
"R03",1,0,"Spine_608","m",,,,,,,,,,,,
"Ratema Formula 400",1,7200,"Spine_609","m",,,,,,,,,,,,
"Raw coal",1,1.88,"Spine_610","f",,,,," EWC_075"," EWC_074"," EWC_072",,,,,
"Raw sludge",2,0.5,"Spine_611","m"," EWC_11_NOT_113",,,," EWC_032",,,,,,,
"Rear enclosure",1,1,"Spine_612","m",,,,,,,,,,,,
"Recovered energy",8,-22.44,"Spine_613","e",,,,,,,,,,,,
"Recycled iron",1,28.01,"Spine_614","m",,,,,,,,,,,,
"Refractory Lining",2,26.98,"Spine_615","m",,,,,,,,,,,,
"Refractory materials",4,18.26,"Spine_616","m",,,,,,,,,,,,
"Reinforcement steel",1,1.04,"Spine_617","m",,,,,,,,,,,,
"Renewable energy source",2,85.22,"Spine_618","e",,,,,,,,,,,,
"Renewable fuel",3,13.92,"Spine_619","f"," EWC_074"," EWC_075"," EWC_072"," EWC_076"," EWC_11_NOT_113",,,,,,,
"Resin",1,204,"Spine_620","m",,,,,,,,,,,,
"Resin base (silica)",1,0.25,"Spine_621","m",,,,,,,,,,,,
"Retaining nut",1,1,"Spine_622","m",,,,,,,,,,,,
"Retaining ring",1,1,"Spine_623","m",,,,,,,,,,,,
"Retention aids",1,0,"Spine_624","m",,,,,,,,,,,,
"Rhenium",5,0,"Spine_625","m",,,,,,,,,,,,
"Rhodium in ore",10,0,"Spine_626","m",,,,,,,,,,,,
"Rimitanol TFA17",2,0.01,"Spine_627","m",,,,,,,,,,,,
"Ritol",1,30,"Spine_628","m",,,,,,,,,,,,
"Roblack Fe",1,0.01,"Spine_629","m",,,,,,,,,,,,
"Rock phosphate",1,5,"Spine_630","m",,,,,,,,,,,,
"Rock salt",13,2572.08,"Spine_631","m",,,,,,,,,,,,
"roller",1,55.2,"Spine_632","m",,,,,,,,,,,,
"Rolling oil",2,72,"Spine_633","m",,,,,,,,,,,,
"Rostrip M-20",1,0.01,"Spine_634","m",,,,,,,,,,,,
"Rotor bush",1,1,"Spine_635","m",,,,,,,,,,,,
"Round Timber",1,1240,"Spine_636","m",,,,,,,,,,,,
"Rubber seal/gasket",1,1,"Spine_637","m",,,,," EWC_073",,,,,,,
"Rutile",2,0,"Spine_638","m",,,,,,,,,,,,
"S",2,90.07,"Spine_639","m",,,,,,,,,,,,
"Salt",1,88.8,"Spine_640","m",,,,,,,,,,,,
"Sand",26,27929.77,"Spine_641","m",,,,,,,,,,,,
"Sanitary cleaners",1,0.01,"Spine_642","m",,,,,,,,,,,,
"Sapogenat",1,0.02,"Spine_643","m",,,,,,,,,,,,
"Saw Blade",1,0.08,"Spine_644","m",,,,,,,,,,,,
"Schneidler, 3M Spraymount",1,0,"Spine_645","m",,,,,,,,,,,,
"Scrap",2,59.9,"Spine_646","m"," EWC_06",,,,,,,,,,,
"Scrap-copper",1,117.34,"Spine_647","m"," EWC_06",,,,,,,,,,,
"Screw",1,9,"Spine_648","m",,,,,,,,,,,,
"Sealants",1,4.15,"Spine_649","m",,,,,,,,,,,,
"Sedipur Cf 104",2,0.01,"Spine_650","m",,,,,,,,,,,,
"Self lock",1,1,"Spine_651","m",,,,,,,,,,,,
"Semichemical Fluting",1,24.8,"Spine_652","m",,,,,,,,,,,,
"Sensor",1,1,"Spine_653","m",,,,,,,,,,,,
"Sensor retainer",1,1,"Spine_654","m",,,,,,,,,,,,
"Septage",2,1.5,"Spine_655","m",,,,,,,,,,,,
"Shaft",1,1,"Spine_656","m",,,,,,,,,,,,
"Shale",7,544,"Spine_657","m",,,,,,,,,,,,
"Shale oils",1,52.42,"Spine_658","f",,,,,,,,,,,,
"Sheet steel",1,1010,"Spine_659","m",,,,,,,,,,,,
"Shell KS Fluid D",1,480,"Spine_660","m",,,,,,,,,,,,
"Shell Tonna Oil TX 32",1,480,"Spine_661","m",,,,,,,,,,,,
"Shopprimer",1,5.08,"Spine_662","m",,,,,,,,,,,,
"Shutter",1,1,"Spine_663","m",,,,,,,,,,,,
"Si",1,0.06,"Spine_664","m",,,,,,,,,,,,
"SiC",1,0.37,"Spine_665","m",,,,,,,,,,,,
"Silicon",1,4.68,"Spine_666","m",,,,,,,,,,,,
"Silicon die",3,0.08,"Spine_667","m",,,,,,,,,,,,
"Silicon dioxide",1,0.01,"Spine_668","m",,,,,,,,,,,,
"Silicon Tetrahydride",1,0,"Spine_669","m",,,,,,,,,,,,
"Silicon wafer",1,625,"Spine_670","m",,,,,,,,,,,,
"Silicon, Si",3,0,"Spine_671","m",,,,,,,,,,,,
"Silicone Rubber",1,0.04,"Spine_672","m",,,,," EWC_073",,,,,,,
"Silver",5,0.24,"Spine_673","m",,,,,,,,,,,,
"Sintered Steel Ring",1,0.09,"Spine_674","m",,,,,,,,,,,,
"SiO2",1,1.08,"Spine_675","m",,,,,,,,,,,,
"Sizing agents",1,0,"Spine_676","m",,,,,,,,,,,,
"SKF LHMF 300",2,0.36,"Spine_677","m",,,,,,,,,,,,
"Slag",1,0,"Spine_678","m",,,,,,,,,,,,
"Slaked lime",2,1.03,"Spine_679","m",,,,,,,,,,,,
"Sleeve cast",1,1,"Spine_680","m",,,,,,,,,,,,
"Sludge chemicals",1,1.7,"Spine_681","m"," EWC_11_NOT_113",,,," EWC_032",,,,,,,
"Sn",17,56.1,"Spine_682","m",,,,,,,,,,,,
"Sn/Pb plating",1,0.24,"Spine_683","m",,,,,,,,,,,,
"SnPb30 plating",1,0,"Spine_684","m",,,,,,,,,,,,
"SO2",2,95800,"Spine_685","m",,,,,,,,,,,,
"Soap",3,0.05,"Spine_686","m",,,,,,,,,,,,
"Soda",1,136,"Spine_687","m",,,,,,,,,,,,
"Sodium bicarbonate",1,0.01,"Spine_688","m",,,,,,,,,,,,
"Sodium bichromate",1,0.02,"Spine_689","m",,,,,,,,,,,,
"Sodium bisulphite",1,0.08,"Spine_690","m",,,,,,,,,,,,
"Sodium carbonate",2,0.98,"Spine_691","m",,,,,,,,,,,,
"Sodium chloride",11,2969.97,"Spine_692","m",,,,,,,,,,,,
"Sodium cyanide",1,0,"Spine_693","m",,,,,,,,,,,,
"Sodium ditionite",1,0,"Spine_694","m",,,,,,,,,,,,
"Sodium hydro sulphite",1,0.09,"Spine_695","m",,,,,,,,,,,,
"Sodium hydroxide",6,62.03,"Spine_696","m",,,,,,,,,,,,
"Sodium hypochlorite",1,0.14,"Spine_697","m",,,,,,,,,,,,
"Sodium nitrite",2,2.42,"Spine_698","m",,,,,,,,,,,,
"Sodium oxide",1,0,"Spine_699","m",,,,,,,,,,,,
"Sodium salt",1,0.04,"Spine_700","m",,,,,,,,,,,,
"Sodium silicate",2,0.34,"Spine_701","m",,,,,,,,,,,,
"Sodium sulphate",2,6.8,"Spine_702","m",,,,,,,,,,,,
"Sodiumhypoclorite",2,0.01,"Spine_703","m",,,,,,,,,,,,
"Software",1,1,"Spine_704","m",,,,,,,,,,,,
"Softwood",2,0.08,"Spine_705","m",,,,,,,,,,,,
"Soil and loose earth material",3,70,"Spine_706","m"," EWC_121_TO_125_NOT_124"," EWC_11_NOT_113"," EWC_093"," EWC_09_NOT_0911_093",,,,,,,,
"Solder",5,264.24,"Spine_707","m",,,,,,,,,,,,
"Solder cream",2,0.09,"Spine_708","m",,,,,,,,,,,,
"Solvents",4,5.04,"Spine_709","m",,,,,,,,,,,,
"Solvey soda",1,0.13,"Spine_710","m",,,,,,,,,,,,
"Sorbitol",1,0.02,"Spine_711","m",,,,,,,,,,,,
"Spacer",1,1,"Spine_712","m",,,,,,,,,,,,
"Spanol W",1,0,"Spine_713","m",,,,,,,,,,,,
"Spring",1,1,"Spine_714","m",,,,,,,,,,,,
"Spring clip",1,1,"Spine_715","m",,,,,,,,,,,,
"Stainless steel",2,0.23,"Spine_716","m",,,,,,,,,,,,
"Starch",4,6.47,"Spine_717","m",,,,,,,,,,,,
"Steam",10,391.13,"Spine_718","m",,,,,,,,,,,,
"Steel",12,185.18,"Spine_719","m",,,,," EWC_06",,,,,,,
"Steel bar",2,25.2,"Spine_720","m",,,,,,,,,,,,
"Steel bars",1,5.1,"Spine_721","m",,,,,,,,,,,,
"Steel cage",1,0.25,"Spine_722","m",,,,,,,,,,,,
"Steel ingot",2,1184.6,"Spine_723","m",,,,,,,,,,,,
"Steel nails",1,0,"Spine_724","m",,,,,,,,,,,,
"Steel ring",2,5.96,"Spine_725","m",,,,,,,,,,,,
"Steel roller",1,1.53,"Spine_726","m",,,,,,,,,,,,
"Steel scrap",7,4864.63,"Spine_727","m"," EWC_06",,,,,,,,,,,
"Steel strips",1,0.07,"Spine_728","m",,,,,,,,,,,,
"Stone coal",6,16710,"Spine_729","f",,,,," EWC_075"," EWC_074"," EWC_072",,,,,
"Sugar",1,0,"Spine_730","m",,,,,,,,,,,,
"Sulphur",14,2394.81,"Spine_731","m",,,,,,,,,,,,
"Sulphur (bonded)",1,30.92,"Spine_732","m",,,,,,,,,,,,
"Sulphur in ore",8,823.21,"Spine_733","m",,,,,,,,,,,,
"Sulphuric acid",10,31.86,"Spine_734","m",,,,,,,,,,,,
"Sunnen MB-30",1,180,"Spine_735","m",,,,,,,,,,,,
"Surface water",8,2197.99,"Spine_736","m",,,,,,,,,,,,
"Surfactants with terpene hydrocarbons",1,0.03,"Spine_737","m",,,,,,,,,,,,
"SW 8571",1,0,"Spine_738","m",,,,,,,,,,,,
"TAED",2,0.03,"Spine_739","m",,,,,,,,,,,,
"Talc",2,21,"Spine_740","m",,,,,,,,,,,,
"TDI",1,0.29,"Spine_741","m",,,,,,,,,,,,
"Technical white",1,0,"Spine_742","m",,,,,,,,,,,,
"Teeming Channel Bricks",2,10.52,"Spine_743","m",,,,,,,,,,,,
"TEFLON",1,0.01,"Spine_744","m",,,,,,,,,,,,
"Terminal",1,1,"Spine_745","m",,,,,,,,,,,,
"Terminal (copper sheet)",1,0.08,"Spine_746","m",,,,,,,,,,,,
"Thermal energy",5,5.16,"Spine_747","e",,,,,,,,,,,,
"Thermal transfer printers",1,0,"Spine_748","m",,,,,,,,,,,,
"Thermistor",1,1,"Spine_749","m",,,,,,,,,,,,
"Thinned forest area",1,1,"Spine_750","g",,,,,,,,,,,,
"Thinner",1,0.48,"Spine_751","m",,,,,,,,,,,,
"Thinning softwood",1,0.25,"Spine_752","m",,,,,,,,,,,,
"Ti",1,0,"Spine_753","m",,,,,,,,,,,,
"Tiefschwarz",1,0,"Spine_754","m",,,,,,,,,,,,
"Tin",6,0.14,"Spine_755","m",,,,,,,,,,,,
"Titanium dioxide",1,102,"Spine_756","m",,,,,,,,,,,,
