"product","substance","quantity","unit"
"Extraction to polyethylene HD APME","Chalk",0.25,
"Extraction to polyethylene HD APME","Chromium in ore",0.25,
"Extraction to polyethylene HD APME","Clay",11,
"Extraction to polyethylene HD APME","Crude oil",1.1,
"Extraction to polyethylene HD APME","Dolomite",2,
"Extraction to polyethylene HD APME","Feldspar",0.25,
"Extraction to polyethylene HD APME","Fluorspar",640,
"Extraction to polyethylene HD APME","Granite",620,
"Extraction to polyethylene HD APME","Gravel",0.25,
"Extraction to polyethylene HD APME","Hard coal",88,
"Extraction to polyethylene HD APME","Hydro energy",1,
"Extraction to polyethylene HD APME","Iron in ore",180,
"Extraction to polyethylene HD APME","KCl",1,
"Extraction to polyethylene HD APME","Lead in ore",0.25,
"Extraction to polyethylene HD APME","Lignite",6.8,
"Extraction to polyethylene HD APME","Limestone",960,
"Extraction to polyethylene HD APME","Manganese in ore",0.2,
"Extraction to polyethylene HD APME","N2",65,
"Extraction to polyethylene HD APME","NaCl",33,
"Extraction to polyethylene HD APME","Natural gas",450,
"Extraction to polyethylene HD APME","Nickel in ore",0.25,
"Extraction to polyethylene HD APME","O2",39,
"Extraction to polyethylene HD APME","Olivine",1,
"Extraction to polyethylene HD APME","Peat",270,
"Extraction to polyethylene HD APME","Phosphorus in ore",0.1,
"Extraction to polyethylene HD APME","Sand",150,
"Extraction to polyethylene HD APME","Shale",7,
"Extraction to polyethylene HD APME","Sulphur in ore",490,
"Extraction to polyethylene HD APME","Titanium in ore",0.15,
"Extraction to polyethylene HD APME","Unspecified energy",0.06,
"Extraction to polyethylene HD APME","Uranium in ore",9.1,
"Extraction to polyethylene HD APME","Water",55,
"Extraction to polyethylene HD APME","Wood",3,
"Extraction to polyethylene HD APME","Zinc in ore",0.25,
"Extraction to polyethylene HD APME","Recovered energy",-0.64,
"Extraction to polyethylene LD APME","Air",100,
"Extraction to polyethylene LD APME","Barytes",0.25,
"Extraction to polyethylene LD APME","Bauxite",890,
"Extraction to polyethylene LD APME","Bentonite",45,
"Extraction to polyethylene LD APME","Biomass",9.1,
"Extraction to polyethylene LD APME","CaSO4",4,
"Extraction to polyethylene LD APME","Chalk",0.25,
"Extraction to polyethylene LD APME","Chromium in ore",0.25,
"Extraction to polyethylene LD APME","Clay",15,
"Extraction to polyethylene LD APME","Crude oil",700,
"Extraction to polyethylene LD APME","Dolomite",2,
"Extraction to polyethylene LD APME","Feldspar",0.25,
"Extraction to polyethylene LD APME","Fluorspar",5,
"Extraction to polyethylene LD APME","Granite",0.25,
"Extraction to polyethylene LD APME","Gravel",1,
"Extraction to polyethylene LD APME","Hard coal",100,
"Extraction to polyethylene LD APME","Hydro energy",1.31,
"Extraction to polyethylene LD APME","Iron in ore",260,
"Extraction to polyethylene LD APME","KCl",1,
"Extraction to polyethylene LD APME","Lead in ore",0.25,
"Extraction to polyethylene LD APME","Lignite",7.7,
"Extraction to polyethylene LD APME","Limestone",1.4,
"Extraction to polyethylene LD APME","Manganese in ore",0.2,
"Extraction to polyethylene LD APME","N2",16,
"Extraction to polyethylene LD APME","NaCl",1.3,
"Extraction to polyethylene LD APME","Natural gas",800,
"Extraction to polyethylene LD APME","Nickel in ore",0.25,
"Extraction to polyethylene LD APME","O2",31,
"Extraction to polyethylene LD APME","Olivine",2,
"Extraction to polyethylene LD APME","Peat",7.2,
"Extraction to polyethylene LD APME","Phosphorus in ore",0.1,
"Extraction to polyethylene LD APME","Sand",220,
"Extraction to polyethylene LD APME","Shale",13,
"Extraction to polyethylene LD APME","Sulphur in ore",65,
"Extraction to polyethylene LD APME","Titanium in ore",0.15,
"Extraction to polyethylene LD APME","Unspecified energy",0.06,
"Extraction to polyethylene LD APME","Uranium in ore",10.2,
"Extraction to polyethylene LD APME","Water",60,
"Extraction to polyethylene LD APME","Wood",2,
"Extraction to polyethylene LD APME","Zinc in ore",0.25,
"Extraction to polyethylene LD APME","Recovered energy",-1.5,
"Extraction to polyethylene linear LD APME","Air",54,
"Extraction to polyethylene linear LD APME","Barytes",0.25,
"Extraction to polyethylene linear LD APME","Bauxite",430,
"Extraction to polyethylene linear LD APME","Bentonite",230,
"Extraction to polyethylene linear LD APME","Biomass",2.1,
"Extraction to polyethylene linear LD APME","CaSO4",23,
"Extraction to polyethylene linear LD APME","Chalk",0.25,
"Extraction to polyethylene linear LD APME","Chromium in ore",0.25,
"Extraction to polyethylene linear LD APME","Clay",11,
"Extraction to polyethylene linear LD APME","Crude oil",440,
"Extraction to polyethylene linear LD APME","Dolomite",9,
"Extraction to polyethylene linear LD APME","Feldspar",0.25,
"Extraction to polyethylene linear LD APME","Fluorspar",0.25,
"Extraction to polyethylene linear LD APME","Granite",0.25,
"Extraction to polyethylene linear LD APME","Gravel",3,
"Extraction to polyethylene linear LD APME","Hard coal",21,
"Extraction to polyethylene linear LD APME","Hydro energy",0.17,
"Extraction to polyethylene linear LD APME","Iron in ore",820,
"Extraction to polyethylene linear LD APME","KCl",1,
"Extraction to polyethylene linear LD APME","Lead in ore",0.25,
"Extraction to polyethylene linear LD APME","Lignite",1.4,
"Extraction to polyethylene linear LD APME","Limestone",1.2,
"Extraction to polyethylene linear LD APME","Manganese in ore",0.8,
"Extraction to polyethylene linear LD APME","N2",97,
"Extraction to polyethylene linear LD APME","NaCl",1.1,
"Extraction to polyethylene linear LD APME","Natural gas",1,
"Extraction to polyethylene linear LD APME","Nickel in ore",0.25,
"Extraction to polyethylene linear LD APME","O2",17,
"Extraction to polyethylene linear LD APME","Olivine",7,
"Extraction to polyethylene linear LD APME","Peat",8,
"Extraction to polyethylene linear LD APME","Phosphorus in ore",0.1,
"Extraction to polyethylene linear LD APME","Sand",200,
"Extraction to polyethylene linear LD APME","Shale",66,
"Extraction to polyethylene linear LD APME","Sulphur in ore",24,
"Extraction to polyethylene linear LD APME","Titanium in ore",0.15,
"Extraction to polyethylene linear LD APME","Unspecified energy",0.01,
"Extraction to polyethylene linear LD APME","Uranium in ore",4.8,
"Extraction to polyethylene linear LD APME","Water",124,
"Extraction to polyethylene linear LD APME","Wood",0.25,
"Extraction to polyethylene linear LD APME","Zinc in ore",110,
"Extraction to polyethylene linear LD APME","Recovered energy",-3.12,
"Extraction to SAN APME","Air",190,
"Extraction to SAN APME","Barytes",0.25,
"Extraction to SAN APME","Bauxite",670,
"Extraction to SAN APME","Bentonite",220,
"Extraction to SAN APME","Biomass",710,
"Extraction to SAN APME","CaSO4",22,
"Extraction to SAN APME","Chalk",0.25,
"Extraction to SAN APME","Chromium in ore",0.25,
"Extraction to SAN APME","Clay",16,
"Extraction to SAN APME","Crude oil",680,
"Extraction to SAN APME","Dolomite",10,
"Extraction to SAN APME","Feldspar",0.25,
"Extraction to SAN APME","Fluorspar",4,
"Extraction to SAN APME","Granite",0.25,
"Extraction to SAN APME","Gravel",3,
"Extraction to SAN APME","Hard coal",71,
"Extraction to SAN APME","Hydro energy",0.14,
"Extraction to SAN APME","Iron in ore",880,
"Extraction to SAN APME","KCl",4,
"Extraction to SAN APME","Lead in ore",1,
"Extraction to SAN APME","Lignite",48,
"Extraction to SAN APME","Limestone",1.8,
"Extraction to SAN APME","Manganese in ore",0.8,
"Extraction to SAN APME","N2",47,
"Extraction to SAN APME","NaCl",2.2,
"Extraction to SAN APME","Natural gas",1.2,
"Extraction to SAN APME","Nickel in ore",0.25,
"Extraction to SAN APME","O2",43,
"Extraction to SAN APME","Olivine",7,
"Extraction to SAN APME","Peat",14,
"Extraction to SAN APME","Phosphorus in ore",0.11,
"Extraction to SAN APME","Sand",110,
"Extraction to SAN APME","Shale",62,
"Extraction to SAN APME","Sulphur in ore",4,
"Extraction to SAN APME","Titanium in ore",0.15,
"Extraction to SAN APME","Unspecified energy",0.08,
"Extraction to SAN APME","Uranium in ore",3.16,
"Extraction to SAN APME","Water",169,
"Extraction to SAN APME","Wood",3,
"Extraction to SAN APME","Zinc in ore",0.25,
"Extraction to SAN APME","Recovered energy",-5.93,
"Extraction to toluene APME","Air",60,
"Extraction to toluene APME","Barytes",0.25,
"Extraction to toluene APME","Bauxite",850,
"Extraction to toluene APME","Bentonite",200,
"Extraction to toluene APME","Biomass",310,
"Extraction to toluene APME","CaSO4",20,
"Extraction to toluene APME","Chalk",0.25,
"Extraction to toluene APME","Chromium in ore",0.25,
"Extraction to toluene APME","Clay",13,
"Extraction to toluene APME","Crude oil",640,
"Extraction to toluene APME","Dolomite",8,
"Extraction to toluene APME","Feldspar",0.25,
"Extraction to toluene APME","Fluorspar",8,
"Extraction to toluene APME","Granite",0.25,
"Extraction to toluene APME","Gravel",2,
"Extraction to toluene APME","Hard coal",25,
"Extraction to toluene APME","Hydro energy",0.03,
"Extraction to toluene APME","Iron in ore",740,
"Extraction to toluene APME","KCl",1,
"Extraction to toluene APME","Lead in ore",0.25,
"Extraction to toluene APME","Lignite",2.4,
"Extraction to toluene APME","Limestone",810,
"Extraction to toluene APME","Manganese in ore",0.8,
"Extraction to toluene APME","N2",20,
"Extraction to toluene APME","NaCl",1.7,
"Extraction to toluene APME","Natural gas",900,
"Extraction to toluene APME","Nickel in ore",0.25,
"Extraction to toluene APME","O2",29,
"Extraction to toluene APME","Olivine",6,
"Extraction to toluene APME","Peat",1,
"Extraction to toluene APME","Phosphorus in ore",0.11,
"Extraction to toluene APME","Sand",82,
"Extraction to toluene APME","Shale",58,
"Extraction to toluene APME","Sulphur in ore",52,
"Extraction to toluene APME","Titanium in ore",0.15,
"Extraction to toluene APME","Unspecified energy",0.01,
"Extraction to toluene APME","Uranium in ore",1.5,
"Extraction to toluene APME","Water",129,
"Extraction to toluene APME","Wood",1,
"Extraction to toluene APME","Zinc in ore",0.25,
"Extraction to toluene APME","Recovered energy",-2.75,
"Extraction to xylene APME","Air",39,
"Extraction to xylene APME","Barytes",0.25,
"Extraction to xylene APME","Bauxite",400,
"Extraction to xylene APME","Bentonite",200,
"Extraction to xylene APME","Biomass",110,
"Extraction to xylene APME","CaSO4",20,
"Extraction to xylene APME","Chalk",0.25,
"Extraction to xylene APME","Chromium in ore",0.25,
"Extraction to xylene APME","Clay",9,
"Extraction to xylene APME","Crude oil",560,
"Extraction to xylene APME","Dolomite",8,
"Extraction to xylene APME","Feldspar",0.25,
"Extraction to xylene APME","Fluorspar",0.25,
"Extraction to xylene APME","Granite",0.25,
"Extraction to xylene APME","Gravel",2,
"Extraction to xylene APME","Hard coal",17,
"Extraction to xylene APME","Hydro energy",0.02,
"Extraction to xylene APME","Iron in ore",710,
"Extraction to xylene APME","KCl",0.25,
"Extraction to xylene APME","Lead in ore",0.25,
"Extraction to xylene APME","Lignite",1.5,
"Extraction to xylene APME","Limestone",5.6,
"Extraction to xylene APME","Manganese in ore",0.8,
"Extraction to xylene APME","N2",13,
"Extraction to xylene APME","NaCl",920,
"Extraction to xylene APME","Natural gas",870,
"Extraction to xylene APME","Nickel in ore",0.25,
"Extraction to xylene APME","O2",21,
"Extraction to xylene APME","Olivine",6,
"Extraction to xylene APME","Peat",1,
"Extraction to xylene APME","Phosphorus in ore",0.11,
"Extraction to xylene APME","Sand",72,
"Extraction to xylene APME","Shale",58,
"Extraction to xylene APME","Sulphur in ore",13,
"Extraction to xylene APME","Titanium in ore",0.15,
"Extraction to xylene APME","Unspecified energy",0,
"Extraction to xylene APME","Uranium in ore",0.55,
"Extraction to xylene APME","Water",99,
"Extraction to xylene APME","Wood",1,
"Extraction to xylene APME","Zinc in ore",0.25,
"Extraction to xylene APME","Recovered energy",-2.62,
"Extraction, beneficiation and grinding of kieserite","Potash salt",,
"Extraction, beneficiation and grinding of kieserite","Natural gas",1.1,
"Extraction, beneficiation and grinding of potash salt","Potash salt",,
"Extraction, beneficiation and grinding of potash salt","Natural gas",1.4,
"Fabrication of oil filters","Glass",0.04,
"Fabrication of oil filters","PET",0.12,
"Fabrication of oil filters","Polyamide",0.23,
"Fabrication of oil filters","POM",0.31,
"Fabrication of oil filters","TEFLON",0.01,
"Fertilizing in silviculture","Diesel",220,
"Fertilizing in silviculture","Kerosene",433,
"Fertilizing in silviculture","Nitrogen fertiliser",150,
"Fertilizing in silviculture","Young forest area",1,
"Final felling","Diesel",15094,
"Final felling","Thinned forest area",1,
"Finland, electricity generation mix 1998","Electricity",0,
"Finland, electricity generation mix 1998","Electricity",0,
"Finland, electricity generation mix 1998","Electricity",0,
"Finland, electricity generation mix 1998","Electricity",0,
"Finland, electricity generation mix 1998","Electricity",1153,
"Finland, electricity generation mix 1998","Electricity",15051,
"Finland, electricity generation mix 1998","Electricity",21853,
"Finland, electricity generation mix 1998","Electricity",23,
"Finland, electricity generation mix 1998","Electricity",4936,
"Finland, electricity generation mix 1998","Electricity",8595,
"Finland, electricity generation mix 1998","Electricity",8823,
"Finland, electricity generation mix 1998","Electricity",9735,
"Flame laminate treatment of textiles","Propane",0,
"Flame laminate treatment of textiles","PU",0.01,
"Flame retardant polyester (Trevira CS) covering of sofa. ESA-DBP","Acetic acid",0.04,
"Flame retardant polyester (Trevira CS) covering of sofa. ESA-DBP","AE",0.07,
"Flame retardant polyester (Trevira CS) covering of sofa. ESA-DBP","Cardboard",0.17,
"Flame retardant polyester (Trevira CS) covering of sofa. ESA-DBP","CMC",0.01,
"Flame retardant polyester (Trevira CS) covering of sofa. ESA-DBP","DAS-1",0,
"Flame retardant polyester (Trevira CS) covering of sofa. ESA-DBP","Dispersant",0.02,
"Flame retardant polyester (Trevira CS) covering of sofa. ESA-DBP","Dyeing agents",0.13,
"Flame retardant polyester (Trevira CS) covering of sofa. ESA-DBP","Enzyme",0,
"Flame retardant polyester (Trevira CS) covering of sofa. ESA-DBP","Even out agent",0.08,
"Flame retardant polyester (Trevira CS) covering of sofa. ESA-DBP","FeSO4",0.04,
"Flame retardant polyester (Trevira CS) covering of sofa. ESA-DBP","LAS",0.09,
"Flame retardant polyester (Trevira CS) covering of sofa. ESA-DBP","Lime",0,
"Flame retardant polyester (Trevira CS) covering of sofa. ESA-DBP","Lubricant oil",0,
"Flame retardant polyester (Trevira CS) covering of sofa. ESA-DBP","Na carbonate",0.09,
"Flame retardant polyester (Trevira CS) covering of sofa. ESA-DBP","Na perborate",0.13,
"Flame retardant polyester (Trevira CS) covering of sofa. ESA-DBP","Na sulphate",0.11,
"Flame retardant polyester (Trevira CS) covering of sofa. ESA-DBP","Other fuel",7.66,
"Flame retardant polyester (Trevira CS) covering of sofa. ESA-DBP","Paper",0.02,
"Flame retardant polyester (Trevira CS) covering of sofa. ESA-DBP","Phosphonate",0.01,
"Flame retardant polyester (Trevira CS) covering of sofa. ESA-DBP","Polycarboxylate",0.02,
"Flame retardant polyester (Trevira CS) covering of sofa. ESA-DBP","Soap",0.03,
"Flame retardant polyester (Trevira CS) covering of sofa. ESA-DBP","Sodium hydro sulphite",0.09,
"Flame retardant polyester (Trevira CS) covering of sofa. ESA-DBP","Sodium hydroxide",0.13,
"Flame retardant polyester (Trevira CS) covering of sofa. ESA-DBP","Sodium silicate",0.09,
"Flame retardant polyester (Trevira CS) covering of sofa. ESA-DBP","Sulphuric acid",0,
"Flame retardant polyester (Trevira CS) covering of sofa. ESA-DBP","TAED",0.02,
"Flame retardant polyester (Trevira CS) covering of sofa. ESA-DBP","Water",1.27,
"Flame retardant polyester (Trevira CS) covering of sofa. ESA-DBP","Zeolite A",0.26,
"Flame retardant polyester (Trevira CS) covering of sofa. ESA-DBP","Bauxite",0.02,
"Flame retardant polyester (Trevira CS) covering of sofa. ESA-DBP","Biomass",0.41,
"Flame retardant polyester (Trevira CS) covering of sofa. ESA-DBP","Crude oil",7.7,
"Flame retardant polyester (Trevira CS) covering of sofa. ESA-DBP","Hard coal",3.33,
"Flame retardant polyester (Trevira CS) covering of sofa. ESA-DBP","Hydro energy",81.9,
"Flame retardant polyester (Trevira CS) covering of sofa. ESA-DBP","Iron in ore",0.02,
"Flame retardant polyester (Trevira CS) covering of sofa. ESA-DBP","Iron ore",0,
"Flame retardant polyester (Trevira CS) covering of sofa. ESA-DBP","Lignite",1.16,
"Flame retardant polyester (Trevira CS) covering of sofa. ESA-DBP","Limestone",0.13,
"Flame retardant polyester (Trevira CS) covering of sofa. ESA-DBP","Natural gas",2.8,
"Flame retardant polyester (Trevira CS) covering of sofa. ESA-DBP","Sodium chloride",0.03,
"Flame retardant polyester (Trevira CS) covering of sofa. ESA-DBP","Unspecified fuel",0,
"Flame retardant polyester (Trevira CS) covering of sofa. ESA-DBP","Water",85.1,
"Flame retardant polyester (Trevira CS) covering of sofa. ESA-DBP","Water",979,
"Flame retardant polyester (Trevira CS) covering of sofa. ESA-DBP","Wind energy",0.17,
"Flame retardant polyester (Trevira CS) covering of sofa. ESA-DBP","Wood",0.63,
"Flexible PUR foam","Electricity",1.5,
"Flexible PUR foam","Polyether - polyols",0.71,
"Flexible PUR foam","TDI",0.29,
"Flexible PUR foam","Water",0.02,
"Floor maintenance. ESA-DBP","Chemicals",0,
"Floor maintenance. ESA-DBP","Fossil fuel",0.07,
"Floor maintenance. ESA-DBP","Lime",0,
"Floor maintenance. ESA-DBP","Oxygen",0,
"Floor maintenance. ESA-DBP","Soap",0,
"Floor maintenance. ESA-DBP","Sulphuric acid",0,
"Floor maintenance. ESA-DBP","Bentonite",0,
"Floor maintenance. ESA-DBP","Biomass",0,
"Floor maintenance. ESA-DBP","Copper in ore",0,
"Floor maintenance. ESA-DBP","Crude oil",0,
"Floor maintenance. ESA-DBP","Hard coal",0,
"Floor maintenance. ESA-DBP","Hydro power",0.38,
"Floor maintenance. ESA-DBP","Iron in ore",,
"Floor maintenance. ESA-DBP","Lead in ore",0,
"Floor maintenance. ESA-DBP","Lignite",0,
"Floor maintenance. ESA-DBP","Natural gas",0,
"Floor maintenance. ESA-DBP","Uranium in ore",0,
"Floor maintenance. ESA-DBP","Wind power",0,
"Forging of ingot into steel bars, 350 mm","Electricity",81.8,
"Forging of ingot into steel bars, 350 mm","Grease",0.07,
"Forging of ingot into steel bars, 350 mm","Heavy fuel oil",3388,
"Forging of ingot into steel bars, 350 mm","Hydraulic Oil",0.4,
"Forging of ingot into steel bars, 350 mm","Ingot Mould",1015.2,
"Forging of ingot into steel bars, 350 mm","Lubricating Oil",0.13,
"Forwarding of harvested wood","Thinning softwood",0.25,
"Forwarding of harvested wood","Diesel",45.3,
"Forwarding of harvested wood","Final felling softwood",0.75,
"France, electricity generation mix 1998","Electricity",0,
"France, electricity generation mix 1998","Electricity",0,
"France, electricity generation mix 1998","Electricity",0,
"France, electricity generation mix 1998","Electricity",11651,
"France, electricity generation mix 1998","Electricity",1762,
"France, electricity generation mix 1998","Electricity",2308,
"France, electricity generation mix 1998","Electricity",35550,
"France, electricity generation mix 1998","Electricity",36,
"France, electricity generation mix 1998","Electricity",387990,
"France, electricity generation mix 1998","Electricity",4975,
"France, electricity generation mix 1998","Electricity",590,
"France, electricity generation mix 1998","Electricity",62070,
"Fuel gas electricity energy system, EPD-version","Bauxite",15.5,
"Fuel gas electricity energy system, EPD-version","Chromium in ore",0.11,
"Fuel gas electricity energy system, EPD-version","Copper in ore",4.39,
"Fuel gas electricity energy system, EPD-version","Crude oil",1260,
"Fuel gas electricity energy system, EPD-version","Hard coal",12100,
"Fuel gas electricity energy system, EPD-version","Iron in ore",458,
"Fuel gas electricity energy system, EPD-version","Lead in ore",0.06,
"Fuel gas electricity energy system, EPD-version","Lignite",265,
"Fuel gas electricity energy system, EPD-version","Limestone",200,
"Fuel gas electricity energy system, EPD-version","Manganese in ore",0.06,
"Fuel gas electricity energy system, EPD-version","Natural gas",59112,
"Fuel gas electricity energy system, EPD-version","Nickel in ore",0.05,
"Fuel gas electricity energy system, EPD-version","Palladium in ore",0,
"Fuel gas electricity energy system, EPD-version","Platinum in ore",0,
"Fuel gas electricity energy system, EPD-version","Rhodium in ore",0,
"Fuel gas electricity energy system, EPD-version","Rock salt",17,
"Fuel gas electricity energy system, EPD-version","Uranium in ore",0.02,
"Fuel gas electricity energy system, EPD-version","Water",608000,
"Fuel gas electricity energy system, EPD-version","Wood",104,
"Fuel gas electricity energy system, EPD-version","Zinc in ore",0,
"Fuel gas electricity energy system, EPD-version","Metals",0.01,
"Fuel gas electricity energy system, ETH - full version","Area II-III",264,
"Fuel gas electricity energy system, ETH - full version","Area III-IV",172,
"Fuel gas electricity energy system, ETH - full version","Area II-IV",109,
"Fuel gas electricity energy system, ETH - full version","Area IV-IV",0.16,
"Fuel gas electricity energy system, ETH - full version","Area, sea bed II-III",1440,
"Fuel gas electricity energy system, ETH - full version","Area, sea bed II-IV",148,
"Fuel gas electricity energy system, ETH - full version","Barite",87.5,
"Fuel gas electricity energy system, ETH - full version","Bauxite",15.5,
"Fuel gas electricity energy system, ETH - full version","Bentonite",10.3,
"Fuel gas electricity energy system, ETH - full version","Chromium in ore",0.11,
"Fuel gas electricity energy system, ETH - full version","Clay",30.5,
"Fuel gas electricity energy system, ETH - full version","Copper in ore",4.39,
"Fuel gas electricity energy system, ETH - full version","Crude oil",1.26,
"Fuel gas electricity energy system, ETH - full version","Gravel",491,
"Fuel gas electricity energy system, ETH - full version","Hydro energy",0,
"Fuel gas electricity energy system, ETH - full version","Iron in ore",458,
"Fuel gas electricity energy system, ETH - full version","Lead in ore",0.06,
"Fuel gas electricity energy system, ETH - full version","Lignite",265,
"Fuel gas electricity energy system, ETH - full version","Limestone",200,
"Fuel gas electricity energy system, ETH - full version","Manganese in ore",0.06,
"Fuel gas electricity energy system, ETH - full version","Mine gas (methane)",109,
"Fuel gas electricity energy system, ETH - full version","Natural gas",58900,
"Fuel gas electricity energy system, ETH - full version","Natural gas",86.1,
"Fuel gas electricity energy system, ETH - full version","Nickel in ore",0.05,
"Fuel gas electricity energy system, ETH - full version","Palladium in ore",0,
"Fuel gas electricity energy system, ETH - full version","Platinum in ore",0,
"Fuel gas electricity energy system, ETH - full version","Rhodium in ore",0,
"Fuel gas electricity energy system, ETH - full version","Rock salt",17,
"Fuel gas electricity energy system, ETH - full version","Sand",1390,
"Fuel gas electricity energy system, ETH - full version","Stone coal",12100,
"Fuel gas electricity energy system, ETH - full version","Turbine water amount",7030,
"Fuel gas electricity energy system, ETH - full version","Uranium in ore",0.02,
"Fuel gas electricity energy system, ETH - full version","Water",608000,
"Fuel gas electricity energy system, ETH - full version","Wood",0.1,
"Fuel gas electricity energy system, ETH - full version","Working amount in water storages",29,
"Fuel gas electricity energy system, ETH - full version","Zinc in ore",0,
"Fuel gas electricity energy system, ETH - full version","Cobalt",0,
"Fuel gas electricity energy system, ETH - full version","Molybdenum",0,
"Fuel gas electricity energy system, ETH - full version","Rhenium",0,
"Fuel gas electricity energy system, ETH - full version","Silver",0,
"Fuel gas electricity energy system, ETH - full version","Tin",0,
"Gas-turbine power plant with support systems","Area",0,
"Gas-turbine power plant with support systems","Coal",0,
"Gas-turbine power plant with support systems","Heavy oil",3.89,
"Gas-turbine power plant with support systems","Iron ore",0.09,
"Gas-turbine power plant with support systems","Natural gas",0.04,
"Gas-turbine power plant with support systems","Bio fuel",0,
"Gas-turbine power plant with support systems","Electricity",0,
"Gas-turbine power plant with support systems","Electricity",0.01,
"Gas-turbine power plant with support systems","Heavy oil",0.16,
"General Purpose Polystyrene (GPPS)","Bauxite",1800,
"General Purpose Polystyrene (GPPS)","Electricity",4.72,
"General Purpose Polystyrene (GPPS)","Heavy oil",39.59,
"General Purpose Polystyrene (GPPS)","Iron ore",300,
"General Purpose Polystyrene (GPPS)","Limestone",200,
"General Purpose Polystyrene (GPPS)","NaCl",14000,
"General Purpose Polystyrene (GPPS)","Natural gas",57.07,
"General Purpose Polystyrene (GPPS)","Soil and loose earth material",20,
"General Purpose Polystyrene (GPPS)","Water",5000000,
"Germany, electricity generation mix 1998","Electricity",0,
"Germany, electricity generation mix 1998","Electricity",0,
"Germany, electricity generation mix 1998","Electricity",0,
"Germany, electricity generation mix 1998","Electricity",139402,
"Germany, electricity generation mix 1998","Electricity",160124,
"Germany, electricity generation mix 1998","Electricity",161644,
"Germany, electricity generation mix 1998","Electricity",17216,
"Germany, electricity generation mix 1998","Electricity",35,
"Germany, electricity generation mix 1998","Electricity",4600,
"Germany, electricity generation mix 1998","Electricity",54312,
"Germany, electricity generation mix 1998","Electricity",6376,
"Germany, electricity generation mix 1998","Electricity",8673,
"Glassworks","Broken glass",366,
"Glassworks","Dolomite",58,
"Glassworks","Electricity",0.4,
"Glassworks","Energyware",,
"Glassworks","Feldspar",43,
"Glassworks","Lime",83,
"Glassworks","LPG",0.56,
"Glassworks","Sand",76,
"Glassworks","Soda",136,
"Glassworks","Sodium sulphate",4,
"Glulam wood production","Bio fuel",4.03,
"Glulam wood production","Coal",0.01,
"Glulam wood production","Coal",0.39,
"Glulam wood production","Coke",0,
"Glulam wood production","Gas",0.29,
"Glulam wood production","Gas",16.3,
"Glulam wood production","Oil",0.09,
"Glulam wood production","Round Timber",1240,
"Glulam wood production","Diesel",0.87,
"Glulam wood production","Electricity",2.07,
"Greece, electricity generation mix 1998","Electricity",0,
"Greece, electricity generation mix 1998","Electricity",0,
"Greece, electricity generation mix 1998","Electricity",0,
"Greece, electricity generation mix 1998","Electricity",0,
"Greece, electricity generation mix 1998","Electricity",0,
"Greece, electricity generation mix 1998","Electricity",160,
"Greece, electricity generation mix 1998","Electricity",1713,
"Greece, electricity generation mix 1998","Electricity",32397,
"Greece, electricity generation mix 1998","Electricity",3717,
"Greece, electricity generation mix 1998","Electricity",45,
"Greece, electricity generation mix 1998","Electricity",70,
"Greece, electricity generation mix 1998","Electricity",8078,
"Grinding of bearing rollers","Electricity",0.09,
"Grinding of bearing rollers","grinding plates",0,
"Grinding of bearing rollers","heat treated roller",11.44,
"Grinding of dolomite","Dolomite",1,
"Grinding of dolomite","Electricity",0.17,
"Handpolishing of bearing rollers","bearing roller",9.2,
"Handpolishing of bearing rollers","Electricity",0,
"Handpolishing of bearing rollers","grinding paper",49,
"Heating of ingot at the rolling mill","Brick",288,
"Heating of ingot at the rolling mill","Dolomite",91.5,
"Heating of ingot at the rolling mill","Heavy fuel oil",876,
"Heating of ingot at the rolling mill","Hydraulic Oil",0.6,
"Heating of ingot at the rolling mill","Ingot Mould",1026,
"Heating of ingot at the rolling mill","Light fuel oil",43.05,
"Heating of ingot at the rolling mill","Liquefied petroleum gas",105.2,
"Heating of ingot at the rolling mill","Oxygen",21.3,
"Heating of ingot at the rolling mill","Water",59.4,
"Heating of smelt iron in a holding furnace","Electricity",3870000,
"Heating of smelt iron in a holding furnace","Iron",6.59,
"Hot rolling of steel sheet","Electricity",0.08,
"Hot rolling of steel sheet","LPG",0.18,
"Hot rolling of steel sheet","Oil",0.22,
"Hot rolling of steel sheet","Steel",1.02,
"Hungary, electricity generation mix 1998","Electricity",0,
"Hungary, electricity generation mix 1998","Electricity",0,
"Hungary, electricity generation mix 1998","Electricity",0,
"Hungary, electricity generation mix 1998","Electricity",0,
"Hungary, electricity generation mix 1998","Electricity",0,
"Hungary, electricity generation mix 1998","Electricity",0,
"Hungary, electricity generation mix 1998","Electricity",130,
"Hungary, electricity generation mix 1998","Electricity",13949,
"Hungary, electricity generation mix 1998","Electricity",155,
"Hungary, electricity generation mix 1998","Electricity",5963,
"Hungary, electricity generation mix 1998","Electricity",7434,
"Hungary, electricity generation mix 1998","Electricity",9557,
"Hydro electricity energy system, EPD-version","Bauxite",2.51,
"Hydro electricity energy system, EPD-version","Chromium in ore",0.79,
"Hydro electricity energy system, EPD-version","Copper in ore",0.06,
"Hydro electricity energy system, EPD-version","Crude oil",74.8,
"Hydro electricity energy system, EPD-version","Hard coal",294,
"Hydro electricity energy system, EPD-version","Iron in ore",179,
"Hydro electricity energy system, EPD-version","Lead in ore",0.02,
"Hydro electricity energy system, EPD-version","Lignite",65.4,
"Hydro electricity energy system, EPD-version","Limestone",655,
